Schlüsselnummer;Stadt;PLZ;Bundesland;Landkreis
15091;Annaburg;06925;Sachsen-Anhalt; Wittenberg
09479;Schönwald;95173;Freistaat Bayern; Wunsiedel
13058;Warin;19417;Mecklenburg-Vorpommern; Nordwestmecklenburg
09673;Ostheim v.d.Rhön;97645;Freistaat Bayern; Rhön-Grabfeld
03255;Eschershausen;37632;Niedersachsen; Holzminden
16068;Weißensee;99631;Freistaat Thüringen; Sömmerda
12062;Sonnewalde;03249;Brandenburg; Elbe-Elster
12069;Havelsee;14798;Brandenburg; Potsdam-Mittelmark
14523;Schöneck;08261;Freistaat Sachsen; Vogtlandkreis
08116;Owen;73277;Baden-Württemberg; Esslingen
09372;Rötz;92444;Freistaat Bayern; Cham
16070;Gehren;98708;Freistaat Thüringen; Ilm-Kreis
08327;Mühlheim an der Donau;78570;Baden-Württemberg; Tuttlingen
13055;Mirow;17252;Mecklenburg-Vorpommern; Mecklenburg-Strelitz
16075;Wurzbach;07343;Freistaat Thüringen; Saale-Orla-Kreis
09479;Marktleuthen;95168;Freistaat Bayern; Wunsiedel
14625;Weißenberg;02627;Freistaat Sachsen; Bautzen
07137;Münstermaifeld;56294;Rheinland-Pfalz; Mayen-Koblenz
06635;Frankenau;35110;Hessen; Waldeck-Frankenberg
15084;Teuchern;06682;Sachsen-Anhalt; Burgenlandkreis
09479;Weißenstadt;95163;Freistaat Bayern; Wunsiedel
09477;Stadtsteinach;95346;Freistaat Bayern; Kulmbach
13053;Krakow am See;18292;Mecklenburg-Vorpommern; Güstrow
12062;Schönewalde;04916;Brandenburg; Elbe-Elster
06633;Liebenau;34396;Hessen; Kassel
13060;Goldberg;19399;Mecklenburg-Vorpommern; Parchim
06535;Kirtorf;36320;Hessen; Vogelsbergkreis
15091;Oranienbaum;06785;Sachsen-Anhalt; Wittenberg
16072;Schalkau;96528;Freistaat Thüringen; Sonneberg
09377;Bärnau;95671;Freistaat Bayern; Tirschenreuth
12060;Joachimsthal;16247;Brandenburg; Barnim
06635;Hatzfeld;35116;Hessen; Waldeck-Frankenberg
07135;Ulmen;56766;Rheinland-Pfalz; Cochem-Zell
12064;Lebus;15326;Brandenburg; Märkisch-Oderland
13052;Jarmen;17126;Mecklenburg-Vorpommern; Demmin
12067;Friedland;15848;Brandenburg; Oder-Spree
13054;Dömitz;19303;Mecklenburg-Vorpommern; Ludwigslust
09472;Waischenfeld;91344;Freistaat Bayern; Bayreuth
15084;Laucha an der Unstrut;06636;Sachsen-Anhalt; Burgenlandkreis
09675;Prichsenstadt;97357;Freistaat Bayern; Kitzingen
16074;Bürgel;07616;Freistaat Thüringen; Saale-Holzland-Kreis
07133;Stromberg;55442;Rheinland-Pfalz; Bad Kreuznach
08125;Löwenstein;74245;Baden-Württemberg; Heilbronn
14628;Geising;01778;Freistaat Sachsen; Sächs. Schweiz-Osterzgebirge
08327;Fridingen an der Donau;78567;Baden-Württemberg; Tuttlingen
15090;Bismark;39629;Sachsen-Anhalt; Stendal
14522;Frauenstein;09623;Freistaat Sachsen; Mittelsachsen
08118;Oberriexingen;71739;Baden-Württemberg; Ludwigsburg
12068;Lindow;16835;Brandenburg; Ostprignitz-Ruppin
14521;Elterlein;09481;Freistaat Sachsen; Erzgebirgskreis
06535;Ulrichstein;35327;Hessen; Vogelsbergkreis
13055;Wesenberg;17255;Mecklenburg-Vorpommern; Mecklenburg-Strelitz
13058;Klütz;23948;Mecklenburg-Vorpommern; Nordwestmecklenburg
16076;Auma;07955;Freistaat Thüringen; Greiz
16073;Remda-Teichel;07407;Freistaat Thüringen; Saalfeld-Rudolstadt
16076;Münchenbernsdorf;07589;Freistaat Thüringen; Greiz
07233;Hillesheim;54576;Rheinland-Pfalz; Vulkaneifel
07141;Braubach;56338;Rheinland-Pfalz; Rhein-Lahn-Kreis
01051;Wesselburen;25764;Schleswig-Holstein; Dithmarschen
14521;Jöhstadt;09477;Freistaat Sachsen; Erzgebirgskreis
07135;Kaisersesch;56759;Rheinland-Pfalz; Cochem-Zell
15082;Gröbzig;06388;Sachsen-Anhalt; Anhalt-Bitterfeld
13053;Gnoien;17179;Mecklenburg-Vorpommern; Güstrow
15084;Nebra;06642;Sachsen-Anhalt; Burgenlandkreis
15087;Allstedt;06542;Sachsen-Anhalt; Mansfeld-Südharz
08126;Waldenburg;74638;Baden-Württemberg; Hohenlohekreis
08225;Ravenstein;74747;Baden-Württemberg; Neckar-Odenwald-Kreis
16069;Themar;98660;Freistaat Thüringen; Hildburghausen
08235;Bad Teinach-Zavelstein;75385;Baden-Württemberg; Calw
13058;Rehna;19217;Mecklenburg-Vorpommern; Nordwestmecklenburg
03354;Wustrow;29462;Niedersachsen; Lüchow-Dannenberg
16071;Bad Sulza;99518;Freistaat Thüringen; Weimarer Land
15084;Bad Bibra;06647;Sachsen-Anhalt; Burgenlandkreis
16065;Ebeleben;99713;Freistaat Thüringen; Kyffhäuserkreis
09575;Burgbernheim;91593;Freistaat Bayern; Neustadt a.d.Aisch-Bad Windsh.
07137;Rhens;56321;Rheinland-Pfalz; Mayen-Koblenz
14625;Elstra;01920;Freistaat Sachsen; Bautzen
09476;Wallenfels;96346;Freistaat Bayern; Kronach
06535;Romrod;36329;Hessen; Vogelsbergkreis
07140;Oberwesel;55430;Rheinland-Pfalz; Rhein-Hunsrück-Kreis
14625;Schirgiswalde;02681;Freistaat Sachsen; Bautzen
14628;Bad Schandau;01814;Freistaat Sachsen; Sächs. Schweiz-Osterzgebirge
14521;Zöblitz;09517;Freistaat Sachsen; Erzgebirgskreis
14729;Kohren-Sahlis;04655;Freistaat Sachsen; Leipzig
09571;Wolframs-Eschenbach;91639;Freistaat Bayern; Ansbach
15085;Wegeleben;38828;Sachsen-Anhalt; Harz
15087;Gerbstedt;06347;Sachsen-Anhalt; Mansfeld-Südharz
14523;Mylau;08499;Freistaat Sachsen; Vogtlandkreis
07131;Adenau;53518;Rheinland-Pfalz; Ahrweiler
12070;Putlitz;16949;Brandenburg; Prignitz
15085;Hasselfelde;38899;Sachsen-Anhalt; Harz
07133;Meisenheim;55590;Rheinland-Pfalz; Bad Kreuznach
13060;Brüel;19412;Mecklenburg-Vorpommern; Parchim
09679;Eibelstadt;97246;Freistaat Bayern; Würzburg
16066;Brotterode;98599;Freistaat Thüringen; Schmalkalden-Meiningen
15081;Arendsee;39619;Sachsen-Anhalt; Altmarkkreis Salzwedel
07140;Sankt Goar;56329;Rheinland-Pfalz; Rhein-Hunsrück-Kreis
14730;Dommitzsch;04880;Freistaat Sachsen; Nordsachsen
09571;Merkendorf;91732;Freistaat Bayern; Ansbach
09571;Schillingsfürst;91583;Freistaat Bayern; Ansbach
08315;Sulzburg;79295;Baden-Württemberg; Breisgau-Hochschwarzwald
16068;Rastenberg;99636;Freistaat Thüringen; Sömmerda
07143;Selters;56242;Rheinland-Pfalz; Westerwaldkreis
16074;Schkölen;07619;Freistaat Thüringen; Saale-Holzland-Kreis
16075;Gefell;07926;Freistaat Thüringen; Saale-Orla-Kreis
16070;Großbreitenbach;98701;Freistaat Thüringen; Ilm-Kreis
13057;Tribsees;18465;Mecklenburg-Vorpommern; Nordvorpommern
12062;Schlieben;04936;Brandenburg; Elbe-Elster
16065;Großenehrich;99718;Freistaat Thüringen; Kyffhäuserkreis
14626;Herrnhut;02747;Freistaat Sachsen; Görlitz
08117;Lauterstein;73111;Baden-Württemberg; Göppingen
09376;Schönsee;92539;Freistaat Bayern; Schwandorf
01054;Garding;25836;Schleswig-Holstein; Nordfriesland
12070;Bad Wilsnack;19336;Brandenburg; Prignitz
